date,close,high,low,open,volume,MACD,RSI,CCI,DX,Turbulence
2018-06-01,34.91049575805664,34.934482754416024,34.28680945088532,34.3107964472447,18352700,-0.2420191957329152,47.798313154829906,-35.17681705771202,17.096000831978362,20.692633696820415
2018-06-04,34.84652328491211,35.04642302000162,34.55066948081556,34.78255390557408,18087700,-0.2247804705523322,47.09584970324224,-11.485150780832727,13.872508062590194,13.854089024478283
2018-06-05,34.918495178222656,34.98246457756004,34.6946083809995,34.97446992775729,16728800,-0.2029713984168211,48.021379452687356,20.399387834781397,13.872508062590203,11.532628807964361
2018-06-06,35.3902587890625,35.43024118872497,34.91050049540126,34.99045919426852,17730200,-0.1459378897716661,53.73485955202034,176.61626788839848,0.9766555172763579,43.53025754545236
2018-06-07,34.90249252319336,35.494193989505625,34.6626104176978,35.37425598698552,19722000,-0.1385005365176255,47.87536598367988,90.34191932711875,7.239568186876867,182.56555852466104
2018-06-08,34.766563415527344,34.96646316128145,34.63063305252402,34.798548106902736,18812400,-0.14193854427750097,46.35825811365093,14.133453661732503,8.047492280207479,160.87642061619073
2018-06-11,34.93448257446289,35.11838999613714,34.73458280522196,34.8785108830937,15069000,-0.12961934629078087,48.52819077125895,60.386536610366754,3.4378850005182633,169.37831454015654
2018-06-12,35.1343879699707,35.14238567014897,34.75857841777258,34.926493518769334,17564900,-0.1025435402915491,51.066022656736955,83.09852100364388,2.6926866281487474,140.56888415024596
2018-06-13,35.19034957885742,35.60614141225352,35.054419217096324,35.19834727674221,24383200,-0.0756975406910243,51.78273737971918,139.8475640311421,10.697775700467279,121.50709997417235
2018-06-14,35.73408508300781,35.83003917762249,35.22234211264437,35.366270204337674,24020500,-0.010426788072450677,58.19032795336442,172.70149613113256,16.367675285612844,64.996819290163
2018-06-15,35.38225173950195,35.6061384580519,34.85451658132866,35.470208107568794,49379800,0.012763612224510723,53.25842514141317,85.46332411594953,4.616286698616811,45.55218542243756
2018-06-18,35.35028076171875,35.51819586575727,34.694609645753026,35.078416905082065,17625400,0.028236883605806895,52.82033001503139,56.07446434465564,0.10656064755995691,53.59761668795522
2018-06-19,35.038421630859375,35.19834201212751,34.734573211472664,34.87850124959123,22199200,0.015160377712277295,48.619119711708066,-1.8392097037098807,0.10656064755994916,28.594559881170508
2018-06-20,34.97446060180664,35.17436034608937,34.94247591066668,35.142375654949404,21276500,-0.000359820136857536,47.77973945399801,-8.192406728534603,0.10656064755996109,29.42304724710249
2018-06-21,34.51069259643555,35.00644312062552,34.43073391680843,34.934479088869864,20924400,-0.04951115711222798,42.10373983648926,-138.77760872172865,15.376383398904494,85.785474212957
2018-06-22,34.54267883300781,34.74257859124255,34.29480203471457,34.65462220958275,27460000,-0.08490420103175467,42.61012491978467,-161.62263729267977,18.92171248345357,74.75439608019472
2018-06-25,33.815040588378906,34.238827059074744,33.431233455445856,34.13487834070914,28626700,-0.16971144069942312,35.091058553845585,-256.1514659481863,36.98410467626167,49.38158740374949
2018-06-26,34.02294158935547,34.49470518721999,33.89500585350552,33.9669698955604,22171200,-0.21763713049562483,38.43391987387288,-140.67786262373411,27.892573284336397,32.47102437147942
2018-06-27,33.84701919555664,34.50268997775595,33.8070368147517,34.16685689040435,20794800,-0.26673924786981473,36.711021990949945,-123.19750305685726,29.621933886456087,57.84135225703777
2018-06-28,34.334774017333984,34.53467373272416,33.80703889071303,33.84702127397314,22197700,-0.2632605876893521,44.18210315543125,-79.40901735656294,28.41603991753955,113.36088636258378
2018-06-29,34.4067497253418,34.782562294016984,34.35877572949637,34.42274207403315,20522900,-0.2517933691007386,45.20994470145776,-31.981521896418414,19.163013052928882,84.0802308350576
